list_number,list_description_en,list_description_uk,code,description_en,description_uk,notes
1,Notification or update type,Тип сповіщення або оновлення,01,Early notification,Раннє сповіщення,Use for a complete record issued earlier than approximately six months before publication
1,Notification or update type,Тип сповіщення або оновлення,02,Advance notification (confirmed),Попереднє сповіщення (підтверджене),Use for a complete record issued to confirm advance information approximately six months before publication; or for a complete record issued after that date and before information has been confirmed from the book-in-hand
1,Notification or update type,Тип сповіщення або оновлення,03,Notification confirmed on publication,Сповіщення підтверджене при публікації,"Use for a complete record issued to confirm advance information at or just before actual publication date, usually from the book-in-hand, or for a complete record issued at any later date"
1,Notification or update type,Тип сповіщення або оновлення,04,Update (partial),Оновлення (часткове),"In ONIX 3.0 or later only, use when sending a ‘block update’ record. A block update implies using the supplied block(s) to update the existing record for the product, replacing only the blocks included in the block update, and leaving other blocks unchanged – for example, replacing old information from Blocks 4 and 6 with the newly-received data while retaining information from Blocks 1–3, 5 and 7–8 untouched. In previous ONIX releases, and for ONIX 3.0 or later using other notification types, updating is by replacing the complete record with the newly-received data"
1,Notification or update type,Тип сповіщення або оновлення,05,Delete,Видалити,"Use when sending an instruction to delete a record which was previously issued. Note that a Delete instruction should NOT be used when a product is cancelled, put out of print, or otherwise withdrawn from sale: this should be handled as a change of Publishing status, leaving the receiver to decide whether to retain or delete the record. A Delete instruction is used ONLY when there is a particular reason to withdraw a record completely, eg because it was issued in error"
1,Notification or update type,Тип сповіщення або оновлення,08,Notice of sale,Повідомлення про продаж,"Notice of sale of a product, from one publisher to another: sent by the publisher disposing of the product"
1,Notification or update type,Тип сповіщення або оновлення,09,Notice of acquisition,Повідомлення про придбання,"Notice of acquisition of a product, by one publisher from another: sent by the acquiring publisher"
1,Notification or update type,Тип сповіщення або оновлення,88,Test update (partial),Тестове оновлення (часткове),"Only for use in ONIX 3.0 or later. Record may be processed for test purposes, but data should be discarded when testing is complete. Sender must ensure the <RecordReference> matches a previously-sent Test record"
1,Notification or update type,Тип сповіщення або оновлення,89,Test record,Тестовий запис,"Record may be processed for test purposes, but data should be discarded when testing is complete. Sender must ensure the <RecordReference> does not match any previously-sent live product record"
2,Product composition,Склад продукту,00,Single-component retail product,Однокомпонентний роздрібний продукт,
2,Product composition,Склад продукту,01,"Single-component, not available separately","Однокомпонентний, недоступний окремо","Used only when an ONIX record is required for a component-as-an-item, even though it is not currently available as such"
2,Product composition,Склад продукту,10,Multiple-component retail product,Багатокомпонентний роздрібний продукт,Multiple-component product retailed as a whole
2,Product composition,Склад продукту,11,"Multiple-item collection, retailed as separate parts","Багатоелементна колекція, продається окремими частинами","Used only when an ONIX record is required for a collection-as-a-whole, even though it is not currently retailed as such"
2,Product composition,Склад продукту,20,Trade-only product,Продукт лише для торгівлі,"Product available to the book trade, but not for retail sale, and not carrying retail items, eg empty dumpbin, empty counterpack, promotional material"
2,Product composition,Склад продукту,30,Multiple-item trade-only pack,Багатоелементний торговий набір,"Product available to the book trade, but not for general retail sale as a whole. It carries multiple components for retailing as separate items, eg shrink-wrapped trade pack, filled dumpbin, filled counterpack"
2,Product composition,Склад продукту,31,Multiple-item pack,Багатоелементний набір,"Carrying multiple components, primarily for retailing as separate items. The pack may be split and retailed as separate items OR retailed as a single item. Use instead of Multiple-item trade-only pack (code 30) if the data provider specifically wishes to make explicit that the pack may optionally be retailed as a whole"
3,Record source type,Тип джерела запису,00,Unspecified,Не вказано,
3,Record source type,Тип джерела запису,01,Publisher,Видавець,
3,Record source type,Тип джерела запису,02,Publisher’s distributor,,"Use to designate a distributor providing primary warehousing and fulfillment for a publisher or for a publisher’s sales agent, as distinct from a wholesaler"
3,Record source type,Тип джерела запису,03,Wholesaler,Оптовик,
3,Record source type,Тип джерела запису,04,Bibliographic agency,Бібліографічне агентство,Bibliographic data aggregator
3,Record source type,Тип джерела запису,05,Library bookseller,Бібліотечний книгопродавець,Library supplier. Bookseller selling to libraries (including academic libraries)
3,Record source type,Тип джерела запису,06,Publisher’s sales agent,,"Use for a publisher’s sales agent responsible for marketing the publisher’s products within a territory, as opposed to a publisher’s distributor who fulfills orders but does not market"
3,Record source type,Тип джерела запису,07,Publisher’s conversion service provider,,"Downstream provider of e-publication format conversion services (who might also be a distributor or retailer of the converted e-publication), supplying metadata on behalf of the publisher. The assigned ISBN is taken from the publisher’s ISBN prefix"
3,Record source type,Тип джерела запису,08,Conversion service provider,Постачальник конверсійних послуг,"Downstream provider of e-publication format conversion services (who might also be a distributor or retailer of the converted e-publication), supplying metadata on behalf of the publisher. The assigned ISBN is taken from the service provider’s prefix (whether or not the service provider dedicates that prefix to a particular publisher)"
3,Record source type,Тип джерела запису,09,ISBN Registration Agency,Агентство реєстрації ISBN,
3,Record source type,Тип джерела запису,10,ISTC Registration Agency,Агентство реєстрації ISTC,Deprecated: the ISTC was withdrawn as a standard in 2021
3,Record source type,Тип джерела запису,11,Retail bookseller,Роздрібний книгопродавець,Bookseller selling primarily to consumers
3,Record source type,Тип джерела запису,12,Education bookseller,,Bookseller selling primarily to educational institutions
3,Record source type,Тип джерела запису,13,Library,,Library service providing enhanced metadata to publishers or other parties
5,Product identifier type,Тип ідентифікатора продукту,01,Proprietary product ID scheme,,"For example, a publisher’s or wholesaler’s product number or SKU. Note that a distinctive <IDTypeName> is required with proprietary identifiers"
5,Product identifier type,Тип ідентифікатора продукту,02,ISBN-10,ISBN-10,"International Standard Book Number, pre-2007 (10 digits, or 9 digits plus X, without spaces or hyphens) – now Deprecated in ONIX for Books, except where providing historical information for compatibility with legacy systems. It should only be used in relation to products published before 2007 – when ISBN-13 superseded it – and should never be used as the ONLY identifier (it should always be accompanied by the correct GTIN-13 / ISBN-13)"
5,Product identifier type,Тип ідентифікатора продукту,03,GTIN-13,,"GS1 Global Trade Item Number, formerly known as EAN article number (13 digits, without spaces or hyphens)"
5,Product identifier type,Тип ідентифікатора продукту,04,UPC,UPC,"UPC product number (12 digits, without spaces or hyphens)"
5,Product identifier type,Тип ідентифікатора продукту,05,ISMN-10,ISMN-10,"International Standard Music Number, pre-2008 (M plus nine digits, without spaces or hyphens) – now Deprecated in ONIX for Books, except where providing historical information for compatibility with legacy systems. It should only be used in relation to products published before 2008 – when ISMN-13 superseded it – and should never be used as the ONLY identifier (it should always be accompanied by the correct GTIN-12 / ISMN-13)"
